date,host,video_id,offset,ist,underlying,option,setup,entry,sl,target1,target2,exit,result_pts,outcome,verified,notes
2026-07-17,chinmay,5wgTKROoOhc,01:49:00,10:48,NIFTY,24200 PE,breakout-close-confirm,~120,~115,135,,~120,0,scratch,said,Entry once price held above the 119-121 zone; SL trailed to cost repeatedly; he called it tired out and viewers exited around cost at 10:57
2026-07-17,chinmay,5wgTKROoOhc,02:09:00,11:08,NIFTY,24200 PE,pullback-first-green-candle,~128,~126,135,144,~128,0,scratch,said,Re-entry on a pin bar at 128 with a 2-3 pt stop; at 11:21 he said some got 4 pts and the rest went out cost-to-cost; 135 and 144 never reached
2026-07-17,chinmay,5wgTKROoOhc,02:38:00,11:37,NIFTY,24150 CE,pullback-first-green-candle,170,~166,184,199,184,14,win,said,Pullback to the apex (the 154-174 zone the post-roll spike launched from); at 11:52-11:53 he said taken at 170 and primary target 184 done and dusted; T2 199 not reached on this leg
2026-07-17,chinmay,5wgTKROoOhc,03:44:00,12:43,NIFTY,24150 CE,trend-re-entry,~174,~168,190,199,199,~25,win,said,Fresh box after two back-to-back pin bars at the 172 base with targets 190/199; at 12:49-12:50 he said price kissed 199 dot on and the target was done
2026-07-17,chinmay,5wgTKROoOhc,05:26:00,14:25,NIFTY,24150 CE,trend-re-entry,~195,~190,216,,,,unclear,frame,Fresh base re-entry in the afternoon spike with a 5-6 pt stop; 219.20 on the 14:56 frame with the 216-217 target zone not cleanly broken and no exit stated before the stream ended - no points logged
2026-07-20,chinmay,syl2Kx5emtQ,00:21:00,09:21,NIFTY,24300 PE,breakout-close-confirm,172.53,154.89,223.65,,178,5.5,win,said,"Candle-close entry above a defended level (box 172.53 / SL 154.89 / target 223.65); at 09:39 he said it had moved 20 pts from entry and to part-book; at 09:44 he named a 178 trailing stop; the 10:15 ""20 and 22 points booked"" was chat; it crashed to 140.55 by the 10:17 frame so the 178 trail is used"
2026-07-20,chinmay,syl2Kx5emtQ,00:53:00,09:53,NIFTY,24100 CE,breakout-close-confirm,125.81,~115,142,162.96,142,16.2,win,frame,Missed by the sub-agent: he said a good candle above 125 would be chased with the SL under 115 and first target 142; box entry 125.81; he said the primary target was touched at 10:10; 156.90 live on the 10:17 frame clears 142; T2 162.96 is the drawn box top
2026-07-20,chinmay,syl2Kx5emtQ,03:59:00,12:59,NIFTY,24100 CE,consolidation-breakout-followup,122,~118,185,206,185,63,win,frame,"Hard trigger named in advance (trigger zone 122) after waiting for a small pullback candle; 193.70 live on the 14:07 frame clears T1 185; the ""closed and captured 67 points"" at 14:08 was him reading a viewer comment so T1 is used"
2026-07-20,chinmay,syl2Kx5emtQ,05:16:00,14:16,NIFTY,24300 PE,base-reversal-aggressive-or-confirm,~103,94,116,,,,unclear,frame,Base at 94-96 with an aggressive entry at 96 or confirmation above 103; frames at 14:39 and 15:05 show it stalling around 106-108 short of 116 and no exit was stated - no points logged
2026-07-21,chinmay,N6kA975_D3I,01:14:00,10:12,NIFTY,24400 PE,base-reversal-aggressive-or-confirm,193,184,218,246,218,25,win,said,Pin-bar reversal entered only above the pin-bar high (193) with the 184-185 base as stop; at 10:22 he said the primary target zone was hitting and at 10:31 that price reversed from the 218 target; the 10:15 frame shows live 203.75 with 218.69 as the drawn target
2026-07-21,chinmay,N6kA975_D3I,02:42:00,11:40,NIFTY,24100 CE,base-reversal-aggressive-or-confirm,~113,~106,,,~106,~-7,loss,unverified,He mentioned taking a 6-7 pt stop on a reversal while teaching liquidity zones; entry and stop not narrated separately and no frame isolates the box
2026-07-21,chinmay,N6kA975_D3I,02:58:00,11:56,NIFTY,24050 CE,trend-re-entry,~125,~118,140,,139,14,win,said,Rolled from 24100 CE to the cheaper 24050 CE after the stop and re-entered on a fresh base; at 12:01 he said the entry was around 125 with the 140 zone as target and at 12:03 that it touched 139
2026-07-21,chinmay,N6kA975_D3I,03:41:00,12:39,NIFTY,24400 PE,range-chop-scalps,,,,,,~-3,loss,unverified,Small attempt inside a barcode that never followed through; he said it did not work and cut it for small risk; no entry or stop narrated so it is kept out of the breakout setups
2026-07-21,chinmay,N6kA975_D3I,03:56:00,12:54,NIFTY,24400 PE,breakout-close-confirm,238,~227,~248,276,~249,~11,win,said,Entry once price traded above the 238-239 zone with an 11 pt stop and no follow-up or trigger wording; at 12:57 he said the 10 pt primary target hit; 271 at 13:00 was a live price callout; at 13:03 he said trail just below 250 and at 13:10 that it fell through the trail - done and dusted
2026-07-21,chinmay,N6kA975_D3I,05:21:00,14:19,NIFTY,24150 PE + 24200 CE,jodi-long-straddle,18,8,34,40,,,unclear,said,Combined premium ~18.5 (10.70 + 7.77) with SL 8 and a double target; the market went sideways and no jodi exit was stated before the transcript ended - no points logged
2026-07-22,chinmay,jCedaeF9RWg,00:31:00,10:22,SENSEX,77000 PE,consolidation-breakout-followup,341.17,337.71,400,424.65,424.65,83.5,win,frame,Hard trigger named in advance (work above 341 once price trades there) after a 25-30 min 320-341 base; box entry 341.17 SL 337.71; 400.85 on the 10:25:49 frame and 437.00 on the 10:26:19 frame clear the 424.65 target; a trailed runner he said closed near breakeven by 11:34 is not counted separately
2026-07-22,chinmay,jCedaeF9RWg,01:59:00,11:50,SENSEX,77000 PE,trend-re-entry,~337,~333,365,391.76,391.76,~55,win,frame,Fresh re-entry off a smaller 328-337 base after the first runner faded; he waited for a pullback above 335-336 rather than a trigger or follow-up candle; 409.00 on the 12:02:20 frame clears the ~392 target; his stretch levels (414-416) are not confirmed so T2 is used
2026-07-22,chinmay,jCedaeF9RWg,04:05:00,13:56,SENSEX,77000 PE,breakout-close-confirm,~459.7,~434,,,~434,~-25,loss,said,He called it a clear breakout entry not a pullback entry on a close above 459-460 and pre-accepted a 25-30 pt stop at the breaking candle low; high ~475.80 by 14:00 then 434.95 on the 14:03:20 frame so the stop was hit; the box label hints at a tighter ~452 stop so the exact loss is uncertain
2026-07-23,chinmay,Uu-LJo9Li30,00:18:00,09:19,SENSEX,76200 CE,range-breakout-direct,~324,~298,,,~298,~-26,loss,said,Raw poke above 324 with no follow-up wait; he said cut it around 298 when it was not moving in favour (09:35)
2026-07-23,chinmay,Uu-LJo9Li30,00:44:00,09:45,SENSEX,76200 CE,consolidation-breakout-followup,341.89,334.01,,,334.01,-7.88,loss,frame,He refused a trigger order and said let the breakout candle sustain then work above it once the follow-up candle also comes; the closed position tool on the 10:03 frame shows entry 341.89 stop 334.01 for -7.88
2026-07-23,chinmay,Uu-LJo9Li30,00:59:00,10:00,SENSEX,76200 CE,trend-re-entry,~350,~334,~408,,~396,~46,win,said,Fresh re-entry right after the stop; at 10:01 he said the profit spike was almost 46 pts and to lock the first target zone and trail; 429.75 on the 10:04 frame above the ~408 line; entry not stated so result uses his 46 pt figure
2026-07-23,chinmay,Uu-LJo9Li30,01:41:00,10:42,SENSEX,76400 CE,range-chop-scalps,~215,~195,,,,-58,loss,said,Repeated re-entries on the rolled 76400 CE while spot chopped; his 12:33 recap counts four attempts - three at a 19-20 pt stop and one cut cost-to-cost; logged as one row
2026-07-23,chinmay,Uu-LJo9Li30,02:03:00,11:04,SENSEX,76200 CE,trend-re-entry,506,477.66,574.18,,,,unclear,frame,Fresh position box on the 11:04 frame (entry 506 SL 477.66 target 574.18); pulled back to ~508 by 11:09 with no exit ever stated - no points logged
2026-07-23,chinmay,Uu-LJo9Li30,02:23:00,11:24,SENSEX,76900 PE,base-reversal-aggressive-or-confirm,~324,305,352,417,~524,~200,win,said,He waited for a strong green pin bar then said this zone where price is now is right with SL 305 (the agent had 305 as the entry); the 11:42 box shows entry ~323.86 with target 414.57; second target done 12:30 and all targets done 12:31; at 12:45 he said profit booked - double century; the 12:45 frame shows 591 so +200 is supported; a later re-entry box (373/507.88) is not logged separately
2026-07-23,chinmay,Uu-LJo9Li30,04:54:00,13:55,SENSEX,76400 CE + 76200 PE,jodi-long-straddle,80,38,150,,~167,87,win,said,Combined premium ~80 (40+40) with SL half and target double; the call leg ran while the put decayed; he stated 87 pts captured on the combined premium at 14:35
2026-07-23,chinmay,Uu-LJo9Li30,05:55:00,14:56,SENSEX,76000 CE,trend-re-entry,~235,,,,,,unclear,unverified,Small-quantity entry at the 235 zone with a big stop; at 14:58 he said a 30 pt move had come and to make it breakeven but no exit was stated and no frame covers it - no points logged
2026-07-23,chinmay,Uu-LJo9Li30,06:03:00,15:04,SENSEX,76000 CE,base-reversal-aggressive-or-confirm,~289.5,,340.6,,~334.7,~45,win,frame,Entry at the 286-290 zone after a bounce confirmation (he says bounce confirmation liya); at 15:03 he said it sharply touched the target zone and came back; the 15:04 frame box shows target 340.60 (drawn) with a high near 334.70 and price back at 297 - logged at the high not the drawn target; he called it 75900 but the chart label reads 76000 CE
2026-07-24,chinmay,U8CNQ0Rhwzs,00:21:00,09:20,NIFTY,23750 PE,base-reversal-aggressive-or-confirm,130.80,126.92,137,152,152,21.2,win,frame,Aggressive single-candle-risk entry at the day's swing top; box entry 130.80 SL 126.92; T1 137 hit at 09:24; 161.85 live on the 09:42 frame clears T2 152
2026-07-24,chinmay,U8CNQ0Rhwzs,00:36:00,09:35,NIFTY,23750 PE,trend-re-entry,146.06,145.21,175.27,,175.27,29.2,win,frame,Fresh box for late joiners (entry 146.06 SL 145.21 target 175.27); 180.35 live price on the 09:51 frame clears the target; later run past 190 not used
2026-07-24,chinmay,U8CNQ0Rhwzs,02:16:00,11:15,NIFTY,23650 CE,breakout-close-confirm,136.01,132.75,184,,~171.25,~35,win,frame,Entry above the named 136 level with no follow-up or trigger wording; drawn target 184; he claimed 41 pts at 12:06 but the 12:06 frame shows live price 171.25 (the agent's 164.92 was the mouse-cursor label) so the open mark 171.25 is used
2026-07-24,chinmay,U8CNQ0Rhwzs,03:35:00,12:34,NIFTY,23850 PE,range-breakout-direct,~156,148.58,,,148.58,-7.5,loss,said,First attempt right after rolling to the new strike at 12:32 with no follow-up or trigger narration; he stated a 7.5 pt cut; the 12:41 frame shows price already below 148.58
2026-07-24,chinmay,U8CNQ0Rhwzs,04:32:00,13:31,NIFTY,23850 PE,trend-re-entry,~151.4,148.58,172.55,194,~166.6,~15,win,frame,He called entry above the 151-152 zone at 13:31; at 13:44 he said it had hardly moved 16 pts and to part-book and make it risk free; 166.60 live on the 13:43 frame with the 172.55 target not reached; the PE then collapsed to 124 by 14:07 so only part-booked holders kept this - logged at the open mark
2026-07-24,chinmay,U8CNQ0Rhwzs,04:57:00,13:56,NIFTY,23800 CE,pullback-first-green-candle,122.40,119.96,137,159.42,137,14.6,win,frame,He took the pullback entry at the 121-122 zone (13:56) after the structure he wanted did not form; box entry 122.40 SL 119.96; 137 was his part-booking zone and 140.30 live on the 14:07 frame clears it; 159.42 is the drawn next target (the agent read it as a price); his 24 pts total claim implies the ~146 high which is not used
2026-07-24,chinmay,U8CNQ0Rhwzs,05:32:00,14:31,NIFTY,23800 CE,trend-re-entry,127.12,113.68,143.06,,~118,-9.1,loss,said,Fresh box on the same CE (entry 127.12 stop 113.68 target 143.06); stop trailed up as price sagged to 118.95 by 14:46; he called the trail hit at 118 near 14:57
2026-07-27,chinmay,XYoKV_bXMD8,01:24:00,10:23,NIFTY,23850 CE,range-chop-scalps,~152,~142,170,187,,-15,loss,said,His own recap of three small morning losses (8 + 3 + 4 pts) while the 23850 CE chopped in a 148-162 box; individual entries are not distinguishable so they are logged as one row and kept out of the breakout setups
2026-07-27,chinmay,XYoKV_bXMD8,04:32:00,13:31,NIFTY,24050 PE,consolidation-breakout-followup,124,~118,142,,~118,~-6,loss,frame,Hard-trigger entry above the 124 hurdle with SL at the breakout candle low as he narrated; the 13:39 frame shows the position box at open P&L -6.42 against a 6.15 pt stop; he moved straight on to a fresh 116 re-entry idea
2026-07-27,chinmay,XYoKV_bXMD8,05:23:00,14:22,NIFTY,23850 CE,aggressive-continuation-entry,~164,~158,187,203,187,~23,win,frame,He said the pullback he wanted never formed so he worked the breakout candle itself; box target +22.27 and stop 6.11; 193.20 on the 14:31 frame clears T1 187; the 204.10 on later frames is the next box's drawn target (peak ~200) so T2 203 is not confirmed and the trade is logged at T1
2026-07-27,chinmay,XYoKV_bXMD8,05:31:00,14:30,NIFTY,23850 CE,trend-re-entry,178.34,176.36,204.1,,,,unclear,unverified,New tighter position box on the 14:31 frame (entry 178.34 SL 176.36 target 204.10 with open P&L +14.86 at 193.20); price was back at ~180 by 14:42 near the stop and no exit was stated - no points logged
2026-07-28,chinmay,nlcPnRhXJDs,00:20:00,09:18,NIFTY,24150 PE,base-reversal-aggressive-or-confirm,133.55,~118,149,194,~150,~16.5,win,said,Box entry 133.55 off the 125-133 day-low base; at 09:24 he said T1 ~149 hit then the 154 target done then trail to ~150 with max profit booked; he said 28 pts at 162 (162-28=134 matching the entry); price fell to 140 by 09:42 so the exit is the ~150 trail; the agent's 196 exit came from a later box's drawn target
2026-07-28,chinmay,nlcPnRhXJDs,00:33:00,09:31,NIFTY,24150 PE,consolidation-breakout-followup,159.7,157.27,170.12,194,157.27,-2.4,scratch,frame,"Re-entry he framed as waiting for the follow-up (""if the follow-up comes we can work again"" at 09:31) above 160 with SL first at 149 then near breakeven; box entry 159.70 SL 157.27 T 170.12; peaked ~170 then fell to 140 by the 09:42 frame so the trailed stop was hit"
2026-07-28,chinmay,nlcPnRhXJDs,00:41:00,09:39,NIFTY,23850 CE,breakout-close-confirm,176.76,169.86,202.38,,169.86,-6.9,loss,frame,Box entry 176.76 SL 169.86 T 202.38 (the agent read the 202 target label as a peak); 171.85 on the 09:42 frame and 137.60 on the 10:06 frame so the stop was hit; trigger wording not confirmed
2026-07-28,chinmay,nlcPnRhXJDs,01:03:00,10:01,NIFTY,24150 PE,pullback-first-green-candle,~154,~144,170,190,170,~16,win,frame,Pullback to the 153-154 zone the blasting move came from; he said they planned near 150 and a pin bar formed with a small SL; at 10:07 he called 170 the booking zone to trail and book; 176.85 on the 10:06 frame; 196.90 on that frame is the box's drawn target (candles topped ~183)
2026-07-28,chinmay,nlcPnRhXJDs,02:52:00,11:50,NIFTY,23850 CE,telegram-vip-call,155,138,172,187,,,unclear,unverified,Telegram VIP call (11:35 message: entry 153-157 SL 138 TP 172/187/207) recapped at 11:50 as having run from 150 to near 189 with major booking near 187; no frame shows the option near 187 so no points under the Telegram rule
2026-07-28,chinmay,nlcPnRhXJDs,04:03:00,13:01,NIFTY,24150 PE,base-reversal-aggressive-or-confirm,~151,~144,,,~177,~26,win,said,Reversal at the 148-152 base with a 7-8 pt stop; at 13:02 he said bring it cost-to-cost as momentum fizzled but at 13:20 said this trade ran from 152 to 187 for 30-35 pts; 187 is a peak claim (frames show ~188.5) so the 177.40 print on the 13:21 frame is used as an open mark
2026-07-28,chinmay,nlcPnRhXJDs,04:14:00,13:12,NIFTY,24150 PE,trend-re-entry,168.07,162.75,196.74,,~177,~9,win,frame,Fresh entry for those who missed (he said 167 with a 5 pt SL at 162); box entry 168.07 SL 162.75 target 196.74; he said book 15-20 if 196 comes but 196.74 is the drawn target and candles peaked ~188.5; 177.40 on the 13:21 frame used as an open mark
2026-07-28,chinmay,nlcPnRhXJDs,05:41:00,14:39,NIFTY,24150 PE,base-reversal-aggressive-or-confirm,~159,~157,178,,178,19,win,frame,Pin-bar close at 14:41 with entry above it and a 157 stop trailed to 156 then breakeven; 178.29 on the 14:46 frame is the drawn target (price 169.65) but the 15:02 frame shows 191.10 so the target was hit
2026-07-29,chinmay,aWD9ZCXlChk,00:20:00,09:20,SENSEX,77500 PE,breakout-close-confirm,262.55,242.7,340.4,,294,31.45,win,frame,Numbers from his TRADE RECORDS journal (seen at 10:33); breakout of the 260-270 base; no follow-up-candle narration found at the entry so not counted under the core setup
2026-07-29,chinmay,aWD9ZCXlChk,00:36:00,09:36,SENSEX,77300 CE,consolidation-breakout-followup,380,369,471.2,,412,32,win,frame,Numbers from his journal; he taught the entry live - the breakout candle could not sustain and printed a pin bar so work above the attempt only once the follow-up comes; T1 411 said hit at 09:40
2026-07-29,chinmay,aWD9ZCXlChk,01:16:00,10:16,SENSEX,77300 CE,range-breakout-direct,414.7,403,471,,403,-11.7,loss,frame,Numbers from his journal; immediate re-entry into the same strike right after booking the previous trade with no fresh base or follow-up candle
2026-07-29,chinmay,aWD9ZCXlChk,04:46:00,13:46,SENSEX,77300 CE,pullback-first-green-candle,~415,399,452,~493,450,35,win,frame,Pin-bar entry after the CE pulled back from a 440 high into the 375-415 base; 449.55 on the 13:48 frame matches his stated 450 and 36 pts; ran to 485.77 later but no further exit was stated so T1 is used
2026-07-29,chinmay,aWD9ZCXlChk,05:26:00,14:26,NIFTY,24150 CE,telegram-vip-call,188,,,,206,18,win,frame,Telegram VIP call (entry 186-190) not charted live; his own channel screen on the 15:05 frame shows Target 1 done with LTP 206 - an outcome frame so points are logged under the Telegram rule
2026-07-30,chinmay,5uyR5XEbx4M,00:31:00,09:34,SENSEX,77900 PE,liquidity-sweep-reversal,303,285,345,418,345,42,win,said,PE swept toward the day low then printed a single reversal candle above the 298-303 zone; 320s-350s on the 09:37-09:42 frames; he confirmed T1 345 comfortably achieved; T2 418 never confirmed
2026-07-30,chinmay,5uyR5XEbx4M,01:20:00,10:23,SENSEX,77400 CE,range-breakout-direct,~281,~268,,,~268,~-13,loss,said,First direct CE attempt before the trendline actually broke; he said a 13 pt SL was forming and cut it; entry and SL inferred (not stated numerically); ~244 on the 10:23 frame
2026-07-30,chinmay,5uyR5XEbx4M,02:03:00,11:06,SENSEX,77400 CE,consolidation-breakout-followup,268,259,310,327,~325,~57,win,said,Hard-trigger entry above 266 out of a squeeze (he said the pullback was not coming so a higher-high key level would give a small-SL entry and he would skip it if price dipped below 240 first); 325.29 candle high on the 11:17 frame; his 13:14 recap says both targets touched; logged at ~325 not the later 449-498 highs
2026-07-30,chinmay,5uyR5XEbx4M,02:49:00,11:52,SENSEX,77900 PE,breakout-close-confirm,299,285,344,,285,-15,loss,said,Re-entry above the 299-300 zone with no follow-up or trigger narration found; he said to cut it at the stated 15 pt stop once it closed back below the 288 base; 297.61 on the frame just before the cut
2026-07-30,chinmay,5uyR5XEbx4M,03:49:00,12:52,SENSEX,78000 PE,base-reversal-aggressive-or-confirm,208,200,275,,275,67,win,said,He named an aggressive entry near 232 with a 34 pt SL versus the confirmation entry near 208 with an 8-9 pt SL and took the confirmation one; he confirmed T1 275 hit and said to part-book; later highs near 485 not used
2026-07-30,chinmay,5uyR5XEbx4M,05:03:00,14:06,SENSEX,77800 CE + 77600 PE,jodi-long-straddle,62,30,110,130,~90,30,win,said,Combined-premium jodi on the expiry afternoon; he stated net net 30 rupees made; legs not visible on the chart panels so this rests on his numbers
2026-07-30,chinmay,5uyR5XEbx4M,05:30:00,14:33,SENSEX,77700 CE + 77500 PE,jodi-long-straddle,47,24,80,85,~92,45,win,said,Second jodi with its own strikes and levels; he tracked the combined premium through 70-72 and said it roughly doubled for a 1:2 exit off the 24 pt SL; his handwritten note on the 14:39 frame reads 70-95 / 45 / 24
2026-08-03,chinmay,BUOVhZ-vdlo,00:30:00,09:44,NIFTY,24400 CE,breakout-close-confirm,181,174,194,,194,13,win,said,Entry on a strong candle close above the 171-178 barcode base - he said the candle closed well so 181 is the entry with SL 174 and noted the follow-up had not come yet; position box entry 181.00 stop 174.09; he told everyone to book at 194
2026-08-03,chinmay,BUOVhZ-vdlo,03:00:00,12:14,NIFTY,24400 CE,trend-re-entry,~212,~201,~228,,~228,~16,win,frame,Continuation re-entry once spot broke the 24600 round number; position box stop 201.5 target 228.53 with live price 228.56 so the target was tapped; gave nearly all of it back to ~188-202 by 13:00 after the hit
2026-08-03,chinmay,BUOVhZ-vdlo,04:24:00,13:38,NIFTY,24700 PE,liquidity-sweep-reversal,132,126,150,155,,,unclear,frame,Bottom-scratch entry with a strict 6 pt SL after waiting all morning; 131.40 on the entry frame; ranged 131-140 for the rest of the session with the SL trailed to breakeven twice; no exit ever stated and he called the day roughly breakeven - no points logged
2026-08-03,chinmay,BUOVhZ-vdlo,04:46:00,14:00,NIFTY,unspecified CE,telegram-vip-call,~188,,~208,,,,unclear,unverified,Recapped as a Telegram VIP call (entry ~188 target ~208) but never charted on the free stream and no outcome frame - no points logged
2026-08-04,chinmay,zmnPW3HauhM,00:14:00,09:19,NIFTY,24450 CE,breakout-close-confirm,~163,~151,176,193,180,17,win,frame,Reclaim of the prior-day 163 resistance right at the open with a 12 pt SL; entry on a close above the level with no follow-up-candle narration; LTP 180.01 on the 09:29:59 frame matches his 163-to-180 recap
2026-08-04,chinmay,zmnPW3HauhM,00:42:00,09:47,NIFTY,24450 CE,breakout-close-confirm,~177,168,195,,~178,0,scratch,said,Re-entry for a fresh push to 195; recent high tag 190.59 then faded; he called it cost-to-cost at 10:50 (while also mentioning ~10 pts early) - no clean booked exit so logged as scratch
2026-08-04,chinmay,zmnPW3HauhM,01:00:00,10:05,SENSEX,~78400 CE,telegram-vip-call,~209,,,,,,unclear,unverified,Telegram-only call mentioned once (209-213 to 240 per host); strike and index are a guess; never charted so no points logged
2026-08-04,chinmay,zmnPW3HauhM,01:03:00,10:08,NIFTY,24750 PE,breakout-close-confirm,138,129,160,,158,20,win,frame,Candle-close entry above a ~40 min base; LTP 158.05 on the 10:24:59 frame at his stated booking zone; it ran on to ~172 but no later exit was narrated so the booking level is used
2026-08-04,chinmay,zmnPW3HauhM,03:00:00,12:05,NIFTY,24750 PE,pullback-first-green-candle,232,224,,,~249,17,win,said,Entry near the base of a strong breakout candle after a ~200 pt spot drop; spiked to 256 then settled ~233-238; he said only ~16-18 pts were captured so the exit is taken there not at the peak
2026-08-04,chinmay,zmnPW3HauhM,03:24:00,12:29,NIFTY,24550 CE + 24450 PE,jodi-long-straddle,45,20,75,,~60,15,win,said,Long straddle taught live; combined premium tracked 46>52>58>60; he stated a 3000-capital jodi made 1000 (~33%); the PE leg alone was 62.34 on the 14:57:58 frame near the booking call
2026-08-04,chinmay,zmnPW3HauhM,04:05:00,13:10,NIFTY,24750 PE,breakout-close-confirm,269,257,278,,278,9,win,frame,Second re-entry in the same option on a candle-close breakout; the 13:14:59 frame shows the candle high at exactly 278.60 matching his target
2026-08-04,chinmay,zmnPW3HauhM,04:50:00,13:55,NIFTY,24500 CE + 24400 PE,jodi-long-straddle,36,18,61,,,,unclear,unverified,Second jodi offered to viewers who missed the first; no exit ever narrated so the result cannot be resolved
2026-08-05,chinmay,u-jxNXi-O_M,00:33:00,09:40,SENSEX,78900 CE,base-reversal-aggressive-or-confirm,~280,275,312,,~275,-5,loss,said,Aggressive reversal above the 280 make-or-break level with a deliberately tiny ~5 pt SL; he said it lost steam and cut it fast
2026-08-05,chinmay,u-jxNXi-O_M,00:58:00,10:05,SENSEX,79100 PE,pullback-first-green-candle,~417,~403,,,,,unclear,unverified,Entry above the first green candle in the 415-420 zone; reached a 509.01 high on the 10:16 frame; the 499 exit was a viewer's booking he reacted to (not his own exit) and no target was hit before he rolled to 78700 PE by 10:45 - so no points logged
2026-08-05,chinmay,u-jxNXi-O_M,02:00:00,11:07,SENSEX,78700 PE,base-reversal-aggressive-or-confirm,209,191,228,296,296,87,win,frame,Waited for the ~209 base to hold (17-18 pt risk); T1 228 on the 11:09 frame (228.35) and T2 296 on the 11:21-11:34 frames (296.22) and said live; no later exit stated for this position so logged at T2; the 462 trail belongs to a later re-entry box
2026-08-05,chinmay,u-jxNXi-O_M,02:07:00,11:14,SENSEX,78900 PE,telegram-vip-call,~285,,,,,,unclear,unverified,Telegram VIP call (entry 283-287) never charted on the free stream; the 11:14 frame shows the channel message with a self-reported running P&L of Rs348; no points logged
